,Year,Larynx,State
0,1999,107.7,LA
1,2000,107.5,LA
2,2001,102.7,LA
3,2002,98.7,LA
4,2003,103.9,LA
5,2004,104.8,LA
6,2005,101.3,LA
7,2006,102.5,LA
8,2007,99.2,LA
9,2008,103.7,LA
10,2009,95.2,LA
11,2010,99.4,LA
12,2011,95.6,LA
13,2012,95.9,LA
14,2013,91.3,LA
15,2014,94.5,LA
16,2015,90.7,LA
0,2016,91.41346390675582,LA
1,2017,89.79148666713138,LA
2,2018,6.738041899904303,LA
3,2019,74.32022179490153,LA
4,2020,0.0,LA
5,2021,126.591028262805,LA
6,2022,0.0,LA
7,2023,313.4812435009002,LA
8,2024,0.0,LA
9,2025,780.4802156688338,LA
