,Year,Lung,State
0,1999,6.5,NY
1,2000,5.7,NY
2,2001,6.0,NY
3,2002,5.5,NY
4,2003,6.8,NY
5,2004,6.9,NY
6,2005,5.9,NY
7,2006,6.0,NY
8,2007,6.7,NY
9,2008,6.6,NY
10,2009,5.7,NY
11,2010,5.8,NY
12,2011,5.9,NY
13,2012,4.4,NY
14,2013,5.3,NY
15,2014,6.0,NY
16,2015,7.4,NY
0,2016,5.953600580543545,NY
1,2017,1.2462874938207111,NY
2,2018,4.703312221889574,NY
3,2019,4.3275844704224005,NY
4,2020,0.2990369452627326,NY
5,2021,2.612110128504446,NY
6,2022,2.7432439099192,NY
7,2023,0.0,NY
8,2024,0.15177509042792892,NY
9,2025,2.527771675887804,NY
